english,target,article
to keep a secret,ein Geheimnis bewahren,
to keep in touch,in Kontakt bleiben,
to lose weight,abnehmen,
to gain weight,zunehmen,
to lose patience,die Geduld verlieren,
to hold a meeting,ein Meeting abhalten,
to catch a cold,sich erkälten,
to break a promise,ein Versprechen brechen,
to run out of time,keine Zeit mehr haben,
to fall asleep,einschlafen,
to feel at home,sich wie zu Hause fühlen,
to get ready,sich fertigmachen,
to get better,besser werden / sich erholen,
to get worse,sich verschlechtern,
to get rid of,loswerden,
to go wrong,schiefgehen,
to go on vacation,in den Urlaub fahren,
to go for a walk,spazieren gehen,
to go shopping,einkaufen gehen,
to go to bed,ins Bett gehen,
to be in a good mood,gute Laune haben,
to be in a bad mood,schlechte Laune haben,
to be late,zu spät kommen,
to be right,recht haben,
to be wrong,falsch liegen / sich irren,
to be afraid of,Angst haben vor,
to be proud of,stolz sein auf,
to be interested in,interessiert sein an,
to be fed up with,die Nase voll haben von,
to be disappointed with,enttäuscht sein von,
to be satisfied with,zufrieden sein mit,
to be looking forward to,sich freuen auf,
to be aware of,sich bewusst sein über,
to come to a conclusion,zu einer Schlussfolgerung kommen,
to fall apart,auseinanderfallen,
to break the law,das Gesetz brechen,
Germany,Deutschland,
Austria,Österreich,
Switzerland,die Schweiz,
Berlin,Berlin,
Vienna,Wien,
Zurich,Zürich,
Munich,München,
Hamburg,Hamburg,
Cologne,Köln,
German-speaking countries (D-A-CH),deutschsprachige Länder (D-A-CH),
Standard German,Hochdeutsch / Standarddeutsch,
dialect,Dialekt,der
January (Austrian variant),Jänner (statt Januar),der
hello (Austrian/Southern),Servus!,
goodbye (Austrian informal),Pfiat di!,
bread roll (Austrian),Semmel (statt Brötchen),die
tomato (Austrian),Paradeiser (statt Tomate),der
potato (Austrian),Erdapfel (statt Kartoffel),der
cream (Austrian),Obers / Schlagobers (statt Sahne),das
elevator (Austrian/general),Lift (statt Aufzug),der
hello (Swiss formal),Grüezi!,
bike (Swiss informal),Velo (statt Fahrrad),das
mobile phone (Swiss),Natel,das
Swiss franc,Schweizer Franken (CHF),der
pretzel,Brezel,die
bratwurst,Bratwurst,die
schnitzel,Schnitzel,das
sauerkraut,Sauerkraut,das
rye bread,Schwarzbrot,das
Oktoberfest,das Oktoberfest,
Christmas Eve,Heiligabend,der
Day of German Unity,Tag der Deutschen Einheit,der
Carnival,Karneval / Fasching,der
Easter,Ostern,
New Year's Eve,Silvester,der
"South Tyrol (Italy, German-speaking)",Südtirol (Italien),
Liechtenstein (also German-speaking),Liechtenstein,
research,Forschung,die
experiment,Experiment,das
theory,Theorie,die
hypothesis,Hypothese,die
analysis,Analyse,die
conclusion,Schlussfolgerung,die
innovation,Innovation,die
invention,Erfindung,die
discovery,Entdeckung,die
evolution,Evolution,die
revolution,Revolution,die
democracy,Demokratie,die
election,Wahl,die
parliament,Parlament,das
constitution,Verfassung,die
human rights,Menschenrechte,die
equality,Gleichheit,die
justice,Gerechtigkeit,die
corruption,Korruption,die
protest,Protest,der
globalization,Globalisierung,die
immigration,Einwanderung,die
integration,Integration,die
discrimination,Diskriminierung,die
poverty,Armut,die
wealth,Reichtum,der
inflation,Inflation,die
recession,Rezession,die
growth,Wachstum,das
export,Export,der
import,Import,der
bankruptcy,Insolvenz,die
merger,Fusion,die
startup,Start-up,das
ecosystem,Ökosystem,das
biodiversity,Artenvielfalt,die
cell,Zelle,die
gene,Gen,das
photosynthesis,Photosynthese,die
immune system,Immunsystem,das
antibiotic,Antibiotikum,das
pandemic,Pandemie,die
epidemic,Epidemie,die
neural network,neuronales Netz,das
3D printing,3D-Druck,der
automation,Automatisierung,die
cybersecurity,Cybersicherheit,die
encryption,Verschlüsselung,die
"Dear Sir/Madam,","Sehr geehrte Damen und Herren,",
I am writing to you regarding...,Ich schreibe Ihnen bezüglich...,
Please find attached...,Im Anhang finden Sie...,
I look forward to hearing from you.,Ich freue mich auf Ihre Antwort.,
"Yours sincerely,","Mit freundlichen Grüßen,",
In my opinion...,Meiner Meinung nach...,
This suggests that...,"Das deutet darauf hin, dass...",
To conclude...,Abschließend...,
In summary...,Zusammenfassend...,
Let's get down to business.,Kommen wir zur Sache.,
That's not negotiable.,Das ist nicht verhandelbar.,
That's a deal.,Abgemacht!,
All things considered...,Alles in allem...,
The most important thing is...,Das Wichtigste ist...,
Ultimately...,Letztendlich...,
It depends on...,Es hängt von... ab.,
Apparently...,Anscheinend...,
It seems like...,"Es scheint, als ob...",
sooner or later,früher oder später,
more or less,mehr oder weniger,
step by step,Schritt für Schritt,
sustainable,nachhaltig,
ambitious,ambitioniert,
significant,bedeutsam,
transparent,transparent,
efficient,effizient,
innovative,innovativ,
competitive,wettbewerbsfähig,
proactive,proaktiv,
collaborative,kollaborativ,
"Well, anyway...","Na ja, jedenfalls...",
To be honest...,Ehrlich gesagt...,
Between you and me...,Unter uns gesagt...,
Don't get me wrong.,Verstehen Sie mich nicht falsch.,
If I understand correctly...,Wenn ich das richtig verstehe...,
wood,Holz,das
metal,Metall,das
plastic,Plastik,das
glass,Glas,das
paper,Papier,das
leather,Leder,das
cotton,Baumwolle,die
silk,Seide,die
wool,Wolle,die
rubber,Gummi,das
gold,Gold,das
silver,Silber,das
iron,Eisen,das
steel,Stahl,der
copper,Kupfer,das
concrete,Beton,der
clay,Ton,der
wax,Wachs,das
knife,Messer,das
fork,Gabel,die
spoon,Löffel,der
plate,Teller,der
cup,Tasse,die
glass (drinking),Glas,das
bottle,Flasche,die
box,Schachtel,die
basket,Korb,der
bowl,Schüssel,die
pot,Topf,der
pan,Pfanne,die
soap,Seife,die
brush,Bürste,die
comb,Kamm,der
scissors,Schere,die
needle,Nadel,die
thread,Faden,der
rope,Seil,das
chain,Kette,die
hook,Haken,der
nail (hardware),Nagel,der
screw,Schraube,die
hammer,Hammer,der
screwdriver,Schraubenzieher,der
drill,Bohrer,der
ruler,Lineal,das
tape measure,Maßband,das
clock,Uhr,die
alarm clock,Wecker,der
wallet,Geldbörse,die
backpack,Rucksack,der
suitcase,Koffer,der
envelope,Briefumschlag,der
stamp,Briefmarke,die
label,Etikett,das
newspaper,Zeitung,die
magazine,Zeitschrift,die
headline,Überschrift,die
article,Artikel,der
documentary,Dokumentarfilm,der
channel,Kanal,der
post (social media),Beitrag,der
comment,Kommentar,der
hashtag,Hashtag,der
podcast,Podcast,der
streaming service,Streamingdienst,der
influencer,Influencer,der
inbox,Postfach,das
attachment,Anhang,der
subject line,Betreffzeile,die
spam,Spam,der
screenshot,Screenshot,der
username,Benutzername,der
profile picture,Profilbild,das
calendar,Kalender,der
reminder,Erinnerung,die
self-confidence,Selbstvertrauen,das
self-esteem,Selbstwertgefühl,das
depression,Depression,die
stress,Stress,der
trauma,Trauma,das
therapy,Therapie,die
motivation,Motivation,die
attitude,Einstellung,die
habit,Gewohnheit,die
routine,Routine,die
atom,Atom,das
molecule,Molekül,das
element,Element,das
gravity,Schwerkraft,die
energy,Energie,die
power,Kraft,die
electricity,Elektrizität,die
current,Strom,der
voltage,Spannung,die
frequency,Frequenz,die
radiation,Strahlung,die
experiment,Versuch,der
microscope,Mikroskop,das
telescope,Teleskop,das
laboratory,Labor,das
wall (outer),Mauer,die
fence,Zaun,der
gate,Tor,das
tower,Turm,der
column,Säule,die
arch,Bogen,der
tunnel,Tunnel,der
dam,Damm,der
canal,Kanal,der
harbor,Hafen,der
lighthouse,Leuchtturm,der
monument,Denkmal,das
statue,Statue,die
fountain,Brunnen,der
sidewalk,Bürgersteig,der
crossroads,Kreuzung,die
goal,Tor,das
point,Punkt,der
score,Punktestand,der
team,Mannschaft,die
player,Spieler,der
coach,Trainer,der
referee,Schiedsrichter,der
championship,Meisterschaft,die
tournament,Turnier,das
medal,Medaille,die
trophy,Pokal,der
race,Rennen,das
finish line,Ziellinie,die
to subscribe,abonnieren,
to unsubscribe,abbestellen,
to block,blockieren,
to report (online),melden,
to scroll,scrollen,
to click,klicken,
to tap,tippen,
to zoom in,reinzoomen,
to zoom out,rauszoomen,
to charge (phone),aufladen,
to reboot,neu starten,
to update,aktualisieren,
to backup,sichern,
to encrypt,verschlüsseln,
to stream,streamen,
to share (online),teilen,
to like (social media),liken / gefallen,
to post,posten / veröffentlichen,
to tag,markieren,
to follow,folgen,
to quit,aufhören / kündigen,
to resign,zurücktreten / kündigen,
to negotiate,verhandeln,
to sign,unterschreiben,
to submit,einreichen,
to approve,genehmigen,
to reject,ablehnen,
to fund,finanzieren,
to budget,budgetieren,
to audit,prüfen / auditieren,
to export,exportieren,
to import,importieren,
to recycle,recyceln,
to compost,kompostieren,
to conserve,konservieren / schonen,
to pollute,verschmutzen,
to emit,ausstoßen / emittieren,
to absorb,aufnehmen / absorbieren,
to vote,wählen,
to elect,wählen / wählen,
to govern,regieren,
to ban,verbieten,
to legalize,legalisieren,
to regulate,regulieren,
to investigate,untersuchen,
to prosecute,verfolgen,
to sentence,verurteilen,
to appeal,Berufung einlegen,
to donate,spenden,
to volunteer,ehrenamtlich tätig sein,
to raise (money),sammeln / aufbringen,
to convince,überzeugen,
to persuade,überreden,
to negotiate,verhandeln,
to argue,streiten / argumentieren,
to debate,debattieren,
to protest,protestieren,
to demonstrate,demonstrieren,
to strike,streiken,
to publish,veröffentlichen,
to edit,bearbeiten,
to proofread,Korrektur lesen,
to cite,zitieren,
to summarize,zusammenfassen,
to analyze,analysieren,
to evaluate,auswerten / bewerten,
to calculate,berechnen,
to estimate,schätzen,
to predict,vorhersagen,
to simulate,simulieren,
to program,programmieren,
to code,programmieren / coden,
to debug,debuggen,
to test,testen,
to deploy,einsetzen / deployen,
to automate,automatisieren,
to optimize,optimieren,
It is 3 o'clock.,Es ist 3 Uhr.,
It is half past 3.,Es ist halb vier.,
It is quarter past 3.,Es ist Viertel nach drei.,
It is quarter to 4.,Es ist Viertel vor vier.,
It is noon.,Es ist Mittag.,
It is midnight.,Es ist Mitternacht.,
at 5 o'clock,um 5 Uhr,
in 10 minutes,in 10 Minuten,
an hour ago,vor einer Stunde,
in two days,in zwei Tagen,
three weeks ago,vor drei Wochen,
on Monday,am Montag,
on the weekend,am Wochenende,
in January,im Januar,
in spring,im Frühling,
from Monday to Friday,von Montag bis Freitag,
every day,jeden Tag,
every week,jede Woche,
every year,jedes Jahr,
for two hours,zwei Stunden lang,
since Monday,seit Montag,
until Friday,bis Freitag,
before noon,vor dem Mittag,
after school,nach der Schule,
during summer,während des Sommers,
at the beginning,am Anfang,
at the end,am Ende,
from now on,von nun an,
up until now,bis jetzt,
in the end,letztendlich / am Ende,
in the long run,auf lange Sicht,
in the short term,kurzfristig,
at first glance,auf den ersten Blick,
at the same time,gleichzeitig,
in the meantime,in der Zwischenzeit,
ever since,seitdem,
NOT: Ich bin kalt. → USE: Mir ist kalt.,Mir ist kalt. (I feel cold),
NOT: Ich habe Hunger haben. → USE: Ich habe Hunger.,Ich habe Hunger.,
NOT: Er ist 30 Jahre. → USE: Er ist 30 Jahre alt.,Er ist 30 Jahre alt.,
NOT: Wann du kommst? → USE: Wann kommst du?,Wann kommst du?,
NOT: Sie hat angekommen. → USE: Sie ist angekommen.,Sie ist angekommen. (ankommen → sein),
"NOT: Ich denke das er müde ist. → USE: Ich denke, dass er müde ist.","Ich denke, dass er müde ist.",
wissen vs. kennen,wissen = Fakten kennen / kennen = Personen/Orte kennen,
mögen vs. möchten,mögen = mögen/gernhaben / möchten = möchten/hätten gern,
hören vs. zuhören,hören = hören / zuhören = zuhören (jemandem),
legen vs. liegen,legen = legen (transitiv) / liegen = liegen (intransitiv),
stellen vs. stehen,stellen = (aufrecht) stellen / stehen = stehen,
setzen vs. sitzen,setzen = setzen / sitzen = sitzen,
fahren vs. gehen,fahren = mit Fahrzeug fahren / gehen = zu Fuß gehen,
bringen vs. holen,bringen = bringen / holen = holen/abholen,
lernen vs. studieren,lernen = lernen / studieren = an der Uni studieren,
after 'weil': verb at end,"Nach 'weil': Verb ans Ende – Ich komme, weil ich Zeit habe.",
after 'obwohl': verb at end,"Nach 'obwohl': Verb ans Ende – Obwohl es regnet, gehe ich raus.",
"Genitiv -s: des Mannes, des Hauses",Mask./Neutr. im Genitiv: -(e)s,
Dative plural always -n,"Dativ Plural: immer -n → den Männern, den Kindern",
n-Declension: der Junge → den Jungen,n-Deklination: Mask. bekommt -(e)n in Akk./Dat./Gen.,
Perfekt with sein: movement/change,Perfekt mit sein: Bewegung oder Zustandsänderung,
Perfekt with haben: most other verbs,Perfekt mit haben: die meisten anderen Verben,
Comparative: add -er → größer,"Komparativ: -er anhängen → größer, schneller",
Superlative: am ...sten → am größten,Superlativ: am ...sten → am größten,
Umlaut in comparatives: alt → älter,"Umlaut im Komparativ: alt → älter, warm → wärmer",
der/die/das → dem/der/dem (Dativ),Dativ: dem (m/n) / der (f) / den+n (pl.),
der/die/das → des/der/des (Genitiv),Genitiv: des (m/n) / der (f) / der (pl.),
"ein → einen (m, Akkusativ)","Unbestimmter Artikel m, Akk.: einen",
"kein → keinen (m, Akkusativ)","Negation m, Akk.: keinen",
Reflexivpronomen: sich (er/sie/es/Sie),Reflexiv 3. Pers.: sich – er wäscht sich,
tall,groß / hochgewachsen,
short (height),klein / niedrig,
slim,schlank,
overweight,übergewichtig,
muscular,muskulös,
athletic,sportlich,
blonde hair,blonde Haare,
brown hair,braune Haare,
black hair,schwarze Haare,
red hair,rote Haare,
grey hair,graue Haare,
curly hair,lockige Haare,
straight hair,glatte Haare,
bald,kahl / glatzköpfig,
beard,Bart,der
mustache,Schnurrbart,der
blue eyes,blaue Augen,
brown eyes,braune Augen,
freckles,Sommersprossen,die
wrinkles,Falten,die
scar,Narbe,die
tattoo,Tattoo,das
pale skin,blasse Haut,
tanned skin,gebräunte Haut,
He looks like his father.,Er sieht seinem Vater ähnlich.,
What does she look like?,Wie sieht sie aus?,
She has long curly hair.,Sie hat lange lockige Haare.,
He is tall and slim.,Er ist groß und schlank.,
She looks young for her age.,Sie sieht jung aus für ihr Alter.,
open-minded,aufgeschlossen,
broad-minded,tolerant,
narrow-minded,engstirnig,
sarcastic,sarkastisch,
witty,witzig / schlagfertig,
charming,charmant,
arrogant,arrogant,
modest,bescheiden,
hardworking,fleißig / arbeitsam,
to the left,nach links,
to the right,nach rechts,
at the top,oben / ganz oben,
at the bottom,unten / ganz unten,
in the middle,in der Mitte,
on the left side,auf der linken Seite,
on the right side,auf der rechten Seite,
in the corner,in der Ecke,
around the corner,um die Ecke,
across the street,auf der anderen Straßenseite,
opposite the station,gegenüber dem Bahnhof,
in front of the hotel,vor dem Hotel,
between the church and the café,zwischen der Kirche und dem Café,
on the second floor,im zweiten Stock,
on the ground floor,im Erdgeschoss,
in the city center,im Stadtzentrum,
in the suburbs,in den Vororten,
in the countryside,auf dem Land,
by the sea,am Meer,
in the mountains,in den Bergen,
near the river,am Fluss,
in the north of Germany,im Norden Deutschlands,
in the south of Austria,im Süden Österreichs,
as big as,genauso groß wie,
bigger than,größer als,
the biggest,am größten,
as fast as possible,so schnell wie möglich,
better than expected,besser als erwartet,
worse than yesterday,schlechter als gestern,
This is the best film I've seen.,"Das ist der beste Film, den ich gesehen habe.",
She is taller than her brother.,Sie ist größer als ihr Bruder.,
"The more you practice, the better.","Je mehr du übst, desto besser.",
The sooner the better.,Je früher desto besser.,
slightly better,etwas besser,
much worse,viel schlechter,
even better,noch besser,
not as good as,nicht so gut wie,
twice as old,doppelt so alt,
far more interesting,viel interessanter,
The letter is written.,Der Brief wird geschrieben.,
The car is being repaired.,Das Auto wird repariert.,
The letter was written.,Der Brief wurde geschrieben.,
The thief was caught.,Der Dieb wurde gefangen.,
The bill has been paid.,Die Rechnung ist bezahlt worden.,
The form must be filled in.,Das Formular muss ausgefüllt werden.,
The report should be written.,Der Bericht soll geschrieben werden.,
The machine can be repaired.,Die Maschine kann repariert werden.,
The letter was written by her.,Der Brief wurde von ihr geschrieben.,
The door is closed. (state),Die Tür ist geschlossen.,
The work is done. (state),Die Arbeit ist erledigt.,
The meal is ready. (state),Das Essen ist fertig.,
to work → work → worker,arbeiten → Arbeit → Arbeiter,
to write → writing → writer,schreiben → Schreiben → Schriftsteller,
to speak → speech → speaker,sprechen → Rede → Sprecher,
to learn → lesson → learner → teacher,lernen → Lektion → Lernende → Lehrer,
to cook → cooking → cook → kitchen,kochen → Kochen → Koch → Küche,
to drive → driver → ride → vehicle,fahren → Fahrer → Fahrt → Fahrzeug,
to buy → buyer → purchase → seller → sale,kaufen → Käufer → Kauf → Verkäufer → Verkauf,
sick → illness → patient → hospital → nurse,krank → Krankheit → Patient → Krankenhaus → Krankenschwester,
to love → love → lover → beloved → lovable,lieben → Liebe → Liebhaber → Geliebte → liebenswert,
friend → friendship → friendly,Freund → Freundschaft → freundlich,
primary school,Grundschule,die
secondary school,Hauptschule,die
high school,Gymnasium,das
vocational school,Berufsschule,die
curriculum,Lehrplan,der
semester,Semester,das
enrollment,Einschreibung,die
tuition fee,Studiengebühr,die
oral exam,mündliche Prüfung,die
written exam,schriftliche Prüfung,die
essay,Aufsatz,der
presentation,Präsentation,die
research paper,Forschungsarbeit,die
plagiarism,Plagiat,das
citation,Zitat,das
grade A / very good,sehr gut,
grade B / good,gut,
grade C / satisfactory,befriedigend,
grade F / fail,ungenügend,
to pass an exam,eine Prüfung bestehen,
to fail an exam,eine Prüfung nicht bestehen,
to graduate,einen Abschluss machen,
graduation ceremony,Abschlussfeier,die
canteen / mensa,Mensa,die
dormitory,Wohnheim,das
"Dear Mr. Schmidt,","Sehr geehrter Herr Schmidt,",
"Dear Ms. Müller,","Sehr geehrte Frau Müller,",
I would like to inquire about...,Ich möchte mich nach ... erkundigen.,
"Kind regards,","Freundliche Grüße,",
"Best regards,","Beste Grüße,",
I strongly believe that...,"Ich bin fest davon überzeugt, dass...",
This shows that...,"Das zeigt, dass...",
It is worth noting that...,"Es ist erwähnenswert, dass...",
That's a valid concern.,Das ist eine berechtigte Sorge.,
I see where you're coming from.,"Ich verstehe, woher Sie kommen.",
That's not what I meant.,Das habe ich nicht so gemeint.,
Allow me to clarify.,Erlauben Sie mir zu klären.,
To be more precise...,Um genauer zu sein...,
So to speak.,Sozusagen.,
The fact remains that...,"Die Tatsache bleibt, dass...",
That changes everything.,Das ändert alles.,
What's the bottom line?,Was ist das Fazit?,
We need to find a compromise.,Wir müssen einen Kompromiss finden.,
The ball is in your court.,Der Ball liegt bei Ihnen.,
Let's touch base later.,Lassen Sie uns später Kontakt aufnehmen.,
We're on the same page.,Wir sind uns einig.,
I'm in over my head.,Das überfordert mich.,
It's now or never.,Jetzt oder nie.,
Better safe than sorry.,Vorsicht ist besser als Nachsicht.,
One step at a time.,Schritt für Schritt.,
Hard work pays off.,Harte Arbeit zahlt sich aus.,
one-way ticket,einfache Fahrkarte,die
first class,erste Klasse,die
second class,zweite Klasse,die
window seat,Fensterplatz,der
aisle seat,Gangplatz,der
to check in (hotel),einchecken,
to check out (hotel),auschecken,
reception,Rezeption,die
delayed,verspätet,
cancelled,storniert / annulliert,
connection,Anschluss,der
to miss the bus,den Bus verpassen,
to catch the train,den Zug erwischen,
direct flight,Direktflug,der
layover,Zwischenstopp,der
itinerary,Reiseplan,der
tour guide,Reiseführer,der
sightseeing,Besichtigung,die
souvenir,Souvenir,das
local time,Ortszeit,die
jet lag,Jetlag,der
last-minute booking,Last-Minute-Buchung,die
I bit,ich biss,
I chose,ich wählte / ich erkor,
I flew,ich flog,
I grew,ich wuchs,
I hid,ich versteckte / ich verbarg,
I hit,ich schlug,
I hurt,ich verletzte,
I rang,ich läutete / ich rief an,
I rose,ich stieg,
I shook,ich schüttelte,
I shut,ich schloss,
I sold,ich verkaufte,
I spent,ich verbrachte / ich gab aus,
I stole,ich stahl,
I swam,ich schwamm,
I taught,ich lehrte / ich unterrichtete,
I told,ich erzählte / ich sagte,
I wore,ich trug,
I washed myself.,Ich habe mich gewaschen.,
She combed her hair.,Sie hat sich gekämmt.,
He shaved.,Er hat sich rasiert.,
We enjoyed ourselves.,Wir haben uns amüsiert.,
She got used to it.,Sie hat sich daran gewöhnt.,
He concentrated.,Er hat sich konzentriert.,
I'm interested in art.,Ich interessiere mich für Kunst.,
She complains about everything.,Sie beschwert sich über alles.,
to be built,gebaut werden,
to be sold,verkauft werden,
to be sent,geschickt werden,
to be found,gefunden werden,
to be used,benutzt werden,
to be shown,gezeigt werden,
to be translated,übersetzt werden,
to be published,veröffentlicht werden,
to be announced,bekannt gegeben werden,
to be cancelled,abgesagt werden,
the number,Nummer,die
the word,Wort,das
the name,Name,der
the place,Ort,der
the thing,Sache,die
the way,Weg,der
the fact,Tatsache,die
the case,Fall,der
the group,Gruppe,die
the world,Welt,die
the life,Leben,das
the point,Punkt,der
the information,Information,die
the example,Beispiel,das
the situation,Situation,die
the position,Position,die
the role,Rolle,die
the function,Funktion,die
the task,Aufgabe,die
the activity,Aktivität,die
the action,Aktion,die
the reaction,Reaktion,die
the behavior,Verhalten,das
the principle,Prinzip,das
the practice,Praxis,die
the performance,Leistung,die
the capacity,Kapazität,die
the limit,Grenze,die
the support,Unterstützung,die
the help,Hilfe,die
the warning,Warnung,die
the instruction,Anweisung,die
the order,Bestellung,die
the request,Anfrage,die
the permission,Erlaubnis,die
the response,Antwort,die
the addition,Ergänzung,die
the exception,Ausnahme,die
the detail,Detail,das
the summary,Zusammenfassung,die
the beginning,Anfang,der
the end,Ende,das
the whole,Ganze,das
the piece,Stück,das
the section,Abschnitt,der
the amount,Menge,die
the distance,Entfernung,die
the speed,Geschwindigkeit,die
the temperature,Temperatur,die
the level,Niveau,das
the surface,Oberfläche,die
the edge,Rand,der
the half,Hälfte,die
the center,Mitte,die
the top,Spitze,die
the bottom,Boden,der
the side,Seite,die
the direction,Richtung,die
the step,Schritt,der
the stage,Stufe,die
the process,Prozess,der
the method,Methode,die
the strategy,Strategie,die
the purpose,Zweck,der
the movement,Bewegung,die
the connection,Verbindung,die
the development,Entwicklung,die
the improvement,Verbesserung,die
the increase,Erhöhung,die
the decrease,Verringerung,die
the condition,Bedingung,die
the agreement,Vereinbarung,die
the community,Gemeinschaft,die
the relationship,Beziehung,die
as big as possible,so groß wie möglich,
as quickly as possible,so schnell wie möglich,
as soon as possible,so bald wie möglich,
It was a long time ago.,Das war vor langer Zeit.,
It won't take long.,Es dauert nicht lange.,
I've been waiting for an hour.,Ich warte seit einer Stunde.,
She has been living here for two years.,Sie wohnt seit zwei Jahren hier.,
He has been working since morning.,Er arbeitet seit dem Morgen.,
We haven't spoken for weeks.,Wir haben seit Wochen nicht gesprochen.,
I'll be there in five minutes.,Ich bin in fünf Minuten da.,
She left three days ago.,Sie ist vor drei Tagen abgereist.,
The meeting starts at half past two.,Das Meeting beginnt um halb drei.,
I have no idea.,Ich habe keine Ahnung.,
That's obvious.,Das ist offensichtlich.,
What a surprise!,Was für eine Überraschung!,
I can't believe it.,Ich kann es nicht glauben.,
That's incredible!,Das ist unglaublich!,
Well done!,Gut gemacht!,
Keep it up!,Weiter so!,
I'm proud of you.,Ich bin stolz auf dich.,
You did great!,Du hast das toll gemacht!,
I'm not feeling well.,Ich fühle mich nicht wohl.,
I need to see a doctor.,Ich muss zum Arzt.,
Can you call an ambulance?,Können Sie einen Krankenwagen rufen?,
I've lost my passport.,Ich habe meinen Reisepass verloren.,
I've been robbed.,Ich wurde bestohlen.,
Call the police!,Rufen Sie die Polizei!,
Where is the nearest hospital?,Wo ist das nächste Krankenhaus?,
I need help.,Ich brauche Hilfe.,
It's an emergency.,Es ist ein Notfall.,
The phone number for emergencies in Germany is 112.,Die Notrufnummer in Deutschland ist 112.,
Can I use your phone?,Kann ich Ihr Telefon benutzen?,
I've forgotten my wallet.,Ich habe meine Geldbörse vergessen.,
I don't have any cash.,Ich habe kein Bargeld.,
Is there a cash machine nearby?,Gibt es einen Geldautomaten in der Nähe?,
Could you lend me some money?,Könntest du mir etwas Geld leihen?,
I'll pay you back tomorrow.,Ich zahle es dir morgen zurück.,
Let's split the cost.,Lass uns die Kosten teilen.,
cash machine / ATM,Geldautomat,der
cash,Bargeld,das
coin,Münze,die
banknote,Geldschein,der
change (coins),Wechselgeld,das
price list,Preisliste,die
total,Gesamtbetrag,der
tip,Trinkgeld,das
value added tax,Mehrwertsteuer,die
invoice,Rechnung,die
payment,Zahlung,die
installment,Rate,die
deposit,Anzahlung,die
refund,Rückerstattung,die
sale (reduced price),Ausverkauf / Sale,der
bargain,Schnäppchen,das
membership,Mitgliedschaft,die
subscription,Abonnement,das
registration,Anmeldung,die
confirmation,Bestätigung,die
cancellation,Stornierung,die
complaint,Beschwerde,die
feedback,Feedback,das
review,Bewertung,die
rating,Bewertung,die
recommendation,Empfehlung,die
reference,Referenz,die
certificate,Zertifikat,das
license,Lizenz,die
permit,Genehmigung,die
visa,Visum,das
residence permit,Aufenthaltserlaubnis,die
citizenship,Staatsbürgerschaft,die
nationality,Nationalität,die
identity card,Personalausweis,der
driving license,Führerschein,der
insurance card,Versicherungskarte,die
I would like to register.,Ich möchte mich anmelden.,
I would like to deregister.,Ich möchte mich abmelden.,
I would like to renew my visa.,Ich möchte mein Visum verlängern.,
I would like to open a bank account.,Ich möchte ein Konto eröffnen.,
I would like to apply for a job.,Ich möchte mich um eine Stelle bewerben.,
I have an appointment at 3 pm.,Ich habe einen Termin um 15 Uhr.,
Can I reschedule?,Kann ich den Termin verschieben?,
Where do I sign?,Wo muss ich unterschreiben?,
Do I need to bring any documents?,Muss ich Dokumente mitbringen?,
Is this form correct?,Ist dieses Formular richtig?,
How long does it take to process?,Wie lange dauert die Bearbeitung?,
When will I hear back?,Wann bekomme ich eine Rückmeldung?,
the color,Farbe,die
red,rot,
blue,blau,
green,grün,
yellow,gelb,
black,schwarz,
white,weiß,
orange (color),orange,
purple,lila,
pink,rosa,
brown,braun,
grey,grau,
light (color),hell,
dark (color),dunkel,
the shape,Form,die
circle,Kreis,der
square,Quadrat,das
triangle,Dreieck,das
line,Linie,die
corner,Ecke,die
to be on time,pünktlich sein,
to be late,zu spät kommen,
to be early,zu früh kommen,
to be right,recht haben,
morning routine,Morgenroutine,die
evening routine,Abendroutine,die
healthy lifestyle,gesunder Lebensstil,der
balanced diet,ausgewogene Ernährung,die
physical activity,körperliche Aktivität,die
mental health,geistige Gesundheit,die
well-being,Wohlbefinden,das
quality of life,Lebensqualität,die
work-life balance,Work-Life-Balance,die
free time,Freizeit,die
leisure,Freizeit,die
entertainment,Unterhaltung,die
enjoyment,Genuss,der
satisfaction,Zufriedenheit,die
happiness,Glück,das
I feel great today.,Ich fühle mich heute großartig.,
She is in good shape.,Sie ist in guter Form.,
He leads a healthy life.,Er führt ein gesundes Leben.,
They work out every day.,Sie trainieren jeden Tag.,
I go to bed early.,Ich gehe früh ins Bett.,
She meditates in the morning.,Sie meditiert morgens.,
He eats a lot of vegetables.,Er isst viel Gemüse.,
We cook at home most of the time.,Wir kochen meistens zu Hause.,
I try to avoid sugar.,Ich versuche Zucker zu vermeiden.,
She drinks two liters of water a day.,Sie trinkt täglich zwei Liter Wasser.,
in other words,mit anderen Worten,
namely,nämlich,
particularly,besonders / insbesondere,
generally speaking,im Allgemeinen,
strictly speaking,streng genommen,
as far as I know,soweit ich weiß,
it seems that,"es scheint, dass",
no wonder that,"kein Wunder, dass",
as a matter of fact,tatsächlich / eigentlich,
for this reason,aus diesem Grund,
hence,daher / deshalb,
thus,somit / also,
likewise,ebenso,
whereas,während / wohingegen,
under no circumstances,unter keinen Umständen,
at first glance,auf den ersten Blick,
all the same,trotzdem / dennoch,
even so,trotzdem,
What time does the film start?,Wann beginnt der Film?,
Is there a pharmacy open on Sunday?,"Gibt es eine Apotheke, die sonntags geöffnet ist?",
Could you turn down the music?,Könnten Sie die Musik leiser machen?,
