"english","target","hint","explanation","level"
"I often wake up shortly before the alarm.","Ich wache oft kurz vor dem Wecker auf.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „vor” itt időbeli viszony, ezért Dativ.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"At weekends I rarely get up before nine.","Am Wochenende stehe ich selten vor neun Uhr auf.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Am …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A1"
"Can you imagine a life without the internet?","Kannst du dir ein Leben ohne Internet vorstellen?","Modal keeps separable infinitive together.","Mondatváza:
`Pozíció 1 + Kannst (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („Kannst”) pedig a második mondatrészben. Az elváló ige itt infinitív vagy zu-infinitív alakban áll, ezért nem válik ketté; a teljes igei alak a mondat végén marad.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „Kannst” (können); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"It later turned out that the key was in the car.","Später stellte sich heraus, dass der Schlüssel im Auto lag.","Main clause separates; dass-clause verb goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Später …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B1"
"We have to find out why the light is not working.","Wir müssen herausfinden, warum das Licht nicht funktioniert.","Modal keeps the separable infinitive together.","Mondatváza:
`Pozíció 1 + müssen (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („müssen”) pedig a második mondatrészben. Az elváló ige itt infinitív vagy zu-infinitív alakban áll, ezért nem válik ketté; a teljes igei alak a mondat végén marad. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „müssen” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"My sister likes to interfere in my decisions.","Meine Schwester mischt sich gern in meine Entscheidungen ein.","Reflexive separable verb: prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „sich einmischen in” vonzata in + Akkusativ.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B1"
"The coach reprimanded the player in front of everyone.","Der Trainer wies den Spieler vor allen anderen zurecht.","Separable verb in the simple past.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „vor” itt „mások előtt” értelemben helyzetet jelöl, ezért Dativ.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B2"
"The sun comes out again after the rain.","Nach dem Regen kommt die Sonne wieder raus.","Colloquial separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Nach …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"We almost died laughing at the old video.","Wir haben uns über das alte Video fast totgelacht.","Reflexive Perfekt uses haben.","Mondatváza:
`Pozíció 1 + haben (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („haben”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „haben” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"Please switch off the light before you leave.","Mach bitte das Licht aus, bevor du gehst.","Imperative: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Felszólító mondatban a ragozott igető áll elöl, az elváló igekötő pedig a mondat végére kerül. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"The film starts in ten minutes.","Der Film fängt in zehn Minuten an.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A1"
"Our train arrives twenty minutes late today.","Unser Zug kommt heute zwanzig Minuten später an.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A1"
"We are watching the new film tonight.","Wir sehen uns heute Abend den neuen Film an.","ansehen is separable and reflexive here.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"You had better write the address down immediately.","Schreib dir die Adresse besser sofort auf.","Imperative: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Felszólító mondatban a ragozott igető áll elöl, az elváló igekötő pedig a mondat végére kerül.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A1"
"On Friday we are going out together after work.","Am Freitag gehen wir nach der Arbeit zusammen aus.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Am …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I can hardly fall asleep without my audiobook.","Ohne mein Hörbuch kann ich kaum einschlafen.","Modal keeps separable infinitive together.","Mondatváza:
`Pozíció 1 + kann (V2) + középmező + elváló igekötő`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Ohne …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Az elváló ige itt infinitív vagy zu-infinitív alakban áll, ezért nem válik ketté; a teljes igei alak a mondat végén marad.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „kann” (können); hozzávetőleges helye: 4. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Do you want to come to the lake tomorrow?","Willst du morgen zum See mitkommen?","Modal keeps separable infinitive together.","Mondatváza:
`Pozíció 1 + Willst (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („Willst”) pedig a második mondatrészben. Az elváló ige itt infinitív vagy zu-infinitív alakban áll, ezért nem válik ketté; a teljes igei alak a mondat végén marad.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „Willst” (wollen); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Can you bring bread and cheese, please?","Kannst du bitte Brot und Käse mitbringen?","Modal keeps separable infinitive together.","Mondatváza:
`Pozíció 1 + Kannst (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („Kannst”) pedig a második mondatrészben. Az elváló ige itt infinitív vagy zu-infinitív alakban áll, ezért nem válik ketté; a teljes igei alak a mondat végén marad.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „Kannst” (können); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I need to check when the shop closes.","Ich muss kurz nachschauen, wann der Laden schließt.","Modal plus indirect question.","Mondatváza:
`Pozíció 1 + muss (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („muss”) pedig a második mondatrészben. Az elváló ige itt infinitív vagy zu-infinitív alakban áll, ezért nem válik ketté; a teljes igei alak a mondat végén marad.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „muss” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"We are preparing everything for the trip today.","Wir bereiten heute alles für die Reise vor.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"The dog gets sad whenever I leave.","Der Hund wird traurig, sobald ich weggehe.","Subordinate clause keeps separable verb together.","Mondatváza:
`Pozíció 1 + wird (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wird”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „wird” (werden); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I will be back by ten at the latest.","Ich komme spätestens um zehn zurück.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A1"
"I will call you back after the meeting.","Ich rufe dich nach dem Meeting zurück.","Main clause: separable prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"We are going outside for a little while after dinner.","Nach dem Essen gehen wir noch kurz raus.","Colloquial prefix goes last.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Nach …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"Come in before you get completely soaked.","Komm rein, bevor du völlig nass wirst.","Imperative with colloquial separable prefix.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Felszólító mondatban a ragozott igető áll elöl, az elváló igekötő pedig a mondat végére kerül. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"The caretaker opens the gate every morning.","Der Hausmeister macht jeden Morgen das Tor auf.","Separable pattern: object before final prefix.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"My father never interferes in my relationships.","Mein Vater mischt sich nie in meine Beziehungen ein.","Reflexive separable verb.","Mondatváza:
`Pozíció 1 + ragozott igető (V2) + középmező + elváló igekötő`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. Az elváló igénél a ragozott igető V2-ben áll, az igekötő pedig a főmondat végére kerül; a tárgyak és határozók közéjük kerülnek.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „sich einmischen in” vonzata in + Akkusativ.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B1"
