english,target,register,tags,note,level
Can I ask you something?,Kann ich dich etwas fragen?,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to ask → fragen.,A1
to answer,antworten,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I will answer later.,Ich antworte später.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to answer → antworten.,A1
to think,denken,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I think about it.,Ich denke darüber nach.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to think → denken.,A1
to know,wissen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I do not know.,Ich weiß es nicht.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to know → wissen.,A1
to know a person / place,kennen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I know him.,Ich kenne ihn.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to know a person / place → kennen.,A1
to understand,verstehen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I understand you.,Ich verstehe dich.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to understand → verstehen.,A1
to mean,meinen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
What do you mean?,Was meinst du?,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to mean → meinen.,A1
to want,wollen,neutral,core;modal;source:german_core_verbs;sentence_builder,,A1
I do not want to force anything.,Ich will nichts erzwingen.,neutral,core;modal;source:german_core_verbs;sentence_builder;example,Example for: to want → wollen.,A1
would like,möchten,polite,core;modal;source:german_core_verbs;sentence_builder,,A1
I would like to understand it.,Ich möchte es verstehen.,polite,core;modal;source:german_core_verbs;sentence_builder;example,Example for: would like → möchten.,A1
can / to be able to,können,neutral,core;modal;source:german_core_verbs;sentence_builder,,A1
I can do it.,Ich kann das machen.,neutral,core;modal;source:german_core_verbs;sentence_builder;example,Example for: can / to be able to → können.,A1
must / have to,müssen,neutral,core;modal;source:german_core_verbs;sentence_builder,,A1
We have to clarify this.,Wir müssen das klären.,neutral,core;modal;source:german_core_verbs;sentence_builder;example,Example for: must / have to → müssen.,A1
should / supposed to,sollen,neutral,core;modal;source:german_core_verbs;sentence_builder,,A1
What should I do?,Was soll ich tun?,neutral,core;modal;source:german_core_verbs;sentence_builder;example,Example for: should / supposed to → sollen.,A1
may / to be allowed to,dürfen,neutral,core;modal;source:german_core_verbs;sentence_builder,,A1
May I ask?,Darf ich fragen?,neutral,core;modal;source:german_core_verbs;sentence_builder;example,Example for: may / to be allowed to → dürfen.,A1
to need,brauchen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I need clarity.,Ich brauche Klarheit.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to need → brauchen.,A1
to stay / remain,bleiben,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
Stay here.,Bleib hier.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to stay / remain → bleiben.,A1
to let / leave,lassen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A2
Let it be for now.,Lass es erst mal.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to let / leave → lassen.,A2
to give,geben,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
Give me a moment.,Gib mir einen Moment.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to give → geben.,A1
to take,nehmen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I will take this one.,Ich nehme das.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to take → nehmen.,A1
to find,finden,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I find it difficult.,Ich finde es schwierig.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to find → finden.,A1
to feel,fühlen,neutral,core;emotion;source:german_core_verbs;sentence_builder,,A1
I feel safe.,Ich fühle mich sicher.,neutral,core;emotion;source:german_core_verbs;sentence_builder;example,Example for: to feel → fühlen.,A1
to notice,merken,neutral,core;perception;source:german_core_verbs;sentence_builder,,A2
I notice that something is wrong.,"Ich merke, dass etwas nicht stimmt.",neutral,core;perception;source:german_core_verbs;sentence_builder;example,Example for: to notice → merken.,A2
to see,sehen,neutral,core;perception;source:german_core_verbs;sentence_builder,,A1
I see what you mean.,"Ich sehe, was du meinst.",neutral,core;perception;source:german_core_verbs;sentence_builder;example,Example for: to see → sehen.,A1
to hear,hören,neutral,core;perception;source:german_core_verbs;sentence_builder,,A1
I heard that differently.,Ich habe das anders gehört.,neutral,core;perception;source:german_core_verbs;sentence_builder;example,Example for: to hear → hören.,A1
to believe / think,glauben,neutral,core;thinking;source:german_core_verbs;sentence_builder,,A1
I believe you.,Ich glaube dir.,neutral,core;thinking;source:german_core_verbs;sentence_builder;example,Example for: to believe / think → glauben.,A1
to hope,hoffen,neutral,core;emotion;source:german_core_verbs;sentence_builder,,A1
I hope so.,Ich hoffe es.,neutral,core;emotion;source:german_core_verbs;sentence_builder;example,Example for: to hope → hoffen.,A1
to fear / be afraid,sich fürchten,neutral,core;emotion;source:german_core_verbs;sentence_builder,,A2
I am not afraid of you.,Ich fürchte mich nicht vor dir.,neutral,core;emotion;source:german_core_verbs;sentence_builder;example,Example for: to fear / be afraid → sich fürchten.,A2
to be afraid,Angst haben vor,neutral,core;emotion;preposition;source:german_core_verbs;sentence_builder,vor + dative,A2
I am afraid of losing this.,"Ich habe Angst davor, das zu verlieren.",neutral,core;emotion;preposition;source:german_core_verbs;sentence_builder;example,vor + dative Example for: to be afraid → Angst haben vor.,A2
to wait for,warten auf,neutral,core;verb;preposition;source:german_core_verbs;sentence_builder,auf + accusative,A1
I am waiting for you.,Ich warte auf dich.,neutral,core;verb;preposition;source:german_core_verbs;sentence_builder;example,auf + accusative Example for: to wait for → warten auf.,A1
to think about,nachdenken über,neutral,core;verb;preposition;source:german_core_verbs;sentence_builder,über + accusative,A2
I am thinking about it.,Ich denke darüber nach.,neutral,core;verb;preposition;source:german_core_verbs;sentence_builder;example,über + accusative Example for: to think about → nachdenken über.,A2
to talk about,sprechen über,neutral,core;verb;preposition;source:german_core_verbs;sentence_builder,über + accusative,A1
We should talk about it.,Wir sollten darüber sprechen.,neutral,core;verb;preposition;source:german_core_verbs;sentence_builder;example,über + accusative Example for: to talk about → sprechen über.,A1
to decide,entscheiden,neutral,core;decision;source:german_core_verbs;sentence_builder,,A2
I do not want to decide now.,Ich möchte jetzt nicht entscheiden.,neutral,core;decision;source:german_core_verbs;sentence_builder;example,Example for: to decide → entscheiden.,A2
to clarify,klären,neutral,core;decision;work;source:german_core_verbs;sentence_builder,,A2
Let us clarify this calmly.,Lass uns das in Ruhe klären.,neutral,core;decision;work;source:german_core_verbs;sentence_builder;example,Example for: to clarify → klären.,A2
to explain,erklären,neutral,core;communication;source:german_core_verbs;sentence_builder,,A2
Can you explain it to me?,Kannst du mir das erklären?,neutral,core;communication;source:german_core_verbs;sentence_builder;example,Example for: to explain → erklären.,A2
to try,versuchen,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
I am trying to understand it.,"Ich versuche, es zu verstehen.",neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to try → versuchen.,A1
to change,ändern,neutral,core;verb;source:german_core_verbs;sentence_builder,,A2
That changes the situation.,Das ändert die Situation.,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to change → ändern.,A2
to happen,passieren,neutral,core;verb;source:german_core_verbs;sentence_builder,,A1
What happened?,Was ist passiert?,neutral,core;verb;source:german_core_verbs;sentence_builder;example,Example for: to happen → passieren.,A1
to work / function,funktionieren,neutral,core;work;source:german_core_verbs;sentence_builder,,A2
This does not work like this.,Das funktioniert so nicht.,neutral,core;work;source:german_core_verbs;sentence_builder;example,Example for: to work / function → funktionieren.,A2
to need to be,müssen sein,neutral,core;pattern;source:german_core_verbs;sentence_builder,,A2
It has to be clear.,Es muss klar sein.,neutral,core;pattern;source:german_core_verbs;sentence_builder;example,Example for: to need to be → müssen sein.,A2
to make sense,Sinn ergeben,neutral,core;thinking;source:german_core_verbs;sentence_builder,,A2
That makes sense.,Das ergibt Sinn.,neutral,core;thinking;source:german_core_verbs;sentence_builder;example,Example for: to make sense → Sinn ergeben.,A2
to fall back into,zurückfallen in,neutral,core;relationship;source:german_core_verbs;sentence_builder,in + accusative,B1
I do not want to fall back into the same dynamic.,Ich möchte nicht in dieselbe Dynamik zurückfallen.,neutral,core;relationship;source:german_core_verbs;sentence_builder;example,in + accusative Example for: to fall back into → zurückfallen in.,B1
That depends.,Das kommt darauf an.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
Let’s see.,Mal sehen.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
No idea.,Keine Ahnung.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
That makes sense.,Das ergibt Sinn.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
That does not make sense.,Das ergibt keinen Sinn.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
I see what you mean.,"Ich verstehe, was du meinst.",natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
I see it differently.,Ich sehe das anders.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
That sounds good.,Das klingt gut.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
That sounds difficult.,Das klingt schwierig.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
Exactly.,Genau.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
Not exactly.,Nicht ganz.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
More or less.,Mehr oder weniger.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
In any case.,Auf jeden Fall.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
Anyway.,Jedenfalls.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
By the way.,Übrigens.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
Actually...,Eigentlich ...,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
To be honest...,Ehrlich gesagt ...,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
Honestly?,Ganz ehrlich?,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
I mean...,Ich meine ...,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
How should I put it?,Wie soll ich sagen?,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
It is hard to say.,Das ist schwer zu sagen.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
It is not that simple.,So einfach ist das nicht.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
That is the point.,Darum geht es.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
That is not the point.,Darum geht es nicht.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
That is the problem.,Das ist das Problem.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
Not necessarily.,Nicht unbedingt.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
Probably.,Wahrscheinlich.,neutral,native;spoken;source:german_native_chunks;sentence_builder,,A1
Apparently.,Anscheinend.,neutral,native;spoken;source:german_native_chunks;sentence_builder,,A2
Of course.,Natürlich.,neutral,native;spoken;source:german_native_chunks;sentence_builder,,A1
Unfortunately.,Leider.,neutral,native;spoken;source:german_native_chunks;sentence_builder,,A1
Luckily.,Zum Glück.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
No worries.,Mach dir keine Sorgen.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
Take your time.,Lass dir Zeit.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
One moment.,Einen Moment.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
Wait a second.,Warte kurz.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
I will be right back.,Ich bin gleich zurück.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
I do not want to overthink it.,Ich will mir da nicht zu viele Gedanken machen.,natural,native;thinking;source:german_native_chunks;sentence_builder,,B1
I do not want to overthink it. [alternative],Ich möchte das nicht zerdenken.,natural,native;thinking;source:german_native_chunks;sentence_builder;alternative,Alternative for: Ich will mir da nicht zu viele Gedanken machen..,B1
Do not get me wrong.,Versteh mich nicht falsch.,natural,native;communication;source:german_native_chunks;sentence_builder,,A2
That came across wrong.,Das kam falsch rüber.,natural,native;communication;source:german_native_chunks;sentence_builder,,B1
I did not mean it like that.,So habe ich das nicht gemeint.,natural,native;communication;source:german_native_chunks;sentence_builder,,A2
I need to think about it.,Ich muss darüber nachdenken.,natural,native;thinking;source:german_native_chunks;sentence_builder,,A2
Let us not make it too complicated.,Lass es uns nicht zu kompliziert machen.,natural,native;spoken;source:german_native_chunks;sentence_builder,,B1
It is fine for now.,Für den Moment ist es okay.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
We will manage somehow.,Wir kriegen das schon hin.,colloquial,native;spoken;source:german_native_chunks;sentence_builder,,B1
We will manage somehow. [alternative],Wir schaffen das schon.,colloquial,native;spoken;source:german_native_chunks;sentence_builder;alternative,Alternative for: Wir kriegen das schon hin..,B1
It will be alright.,Das wird schon.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A2
I am not in the mood.,Ich habe gerade keine Lust.,natural,native;emotion;source:german_native_chunks;sentence_builder,,A2
I am tired.,Ich bin müde.,natural,native;state;source:german_native_chunks;sentence_builder,,A1
I am exhausted.,Ich bin erschöpft.,natural,native;state;source:german_native_chunks;sentence_builder,,A2
I need some air.,Ich brauche kurz frische Luft.,natural,native;state;source:german_native_chunks;sentence_builder,,A2
Let’s take a break.,Lass uns eine Pause machen.,natural,native;spoken;source:german_native_chunks;sentence_builder,,A1
because I do not know,weil ich es nicht weiß,neutral,grammar;weil;source:german_grammar_chunks;sentence_builder,Verb goes to end after weil.,A2
because it is important,weil es wichtig ist,neutral,grammar;weil;source:german_grammar_chunks;sentence_builder,,A2
because I need clarity,weil ich Klarheit brauche,neutral,grammar;weil;source:german_grammar_chunks;sentence_builder,Related noun article: die.,A2
that I do not understand it,dass ich es nicht verstehe,neutral,grammar;dass;source:german_grammar_chunks;sentence_builder,Verb goes to end after dass.,A2
that we should talk,dass wir sprechen sollten,neutral,grammar;dass;modal;source:german_grammar_chunks;sentence_builder,,A2
if you have time,wenn du Zeit hast,neutral,grammar;wenn;source:german_grammar_chunks;sentence_builder,Related noun article: die.,A1
if something is wrong,wenn etwas nicht stimmt,neutral,grammar;wenn;source:german_grammar_chunks;sentence_builder,,A2
although I understand it,obwohl ich es verstehe,neutral,grammar;obwohl;source:german_grammar_chunks;sentence_builder,,A2
although it hurts,obwohl es weh tut,neutral,grammar;obwohl;source:german_grammar_chunks;sentence_builder,,A2
before I answer,bevor ich antworte,neutral,grammar;bevor;source:german_grammar_chunks;sentence_builder,,A2
after we talk,nachdem wir sprechen,neutral,grammar;nachdem;source:german_grammar_chunks;sentence_builder,,B1
so that it is clear,damit es klar ist,neutral,grammar;damit;source:german_grammar_chunks;sentence_builder,,B1
whether it works,ob es funktioniert,neutral,grammar;ob;source:german_grammar_chunks;sentence_builder,,A2
what happened,was passiert ist,neutral,grammar;question;source:german_grammar_chunks;sentence_builder,,A2
why it hurts,warum es weh tut,neutral,grammar;question;source:german_grammar_chunks;sentence_builder,,A2
how I should say it,wie ich es sagen soll,neutral,grammar;question;modal;source:german_grammar_chunks;sentence_builder,,A2
I have to go.,Ich muss gehen.,neutral,grammar;modal;müssen;source:german_grammar_chunks;sentence_builder,,A1
I can stay.,Ich kann bleiben.,neutral,grammar;modal;können;source:german_grammar_chunks;sentence_builder,,A1
I want to understand it.,Ich will es verstehen.,neutral,grammar;modal;wollen;source:german_grammar_chunks;sentence_builder,,A1
I would like to ask something.,Ich möchte etwas fragen.,polite,grammar;modal;möchten;source:german_grammar_chunks;sentence_builder,,A1
I should not react now.,Ich sollte jetzt nicht reagieren.,neutral,grammar;modal;sollten;source:german_grammar_chunks;sentence_builder,,A2
May I ask you something?,Darf ich dich etwas fragen?,neutral,grammar;modal;dürfen;source:german_grammar_chunks;sentence_builder,,A1
I am thinking about it.,Ich denke darüber nach.,neutral,grammar;preposition;nachdenken;source:german_grammar_chunks;sentence_builder,über + accusative; da-compound darüber,A2
I am waiting for you.,Ich warte auf dich.,neutral,grammar;preposition;warten;source:german_grammar_chunks;sentence_builder,auf + accusative,A1
I am talking about it.,Ich spreche darüber.,neutral,grammar;preposition;sprechen;source:german_grammar_chunks;sentence_builder,über + accusative; darüber,A2
I am afraid of it.,Ich habe Angst davor.,neutral,grammar;preposition;angst;source:german_grammar_chunks;sentence_builder,vor + dative; davor Related noun article: die.,A2
I am looking forward to it.,Ich freue mich darauf.,neutral,grammar;preposition;freuen;source:german_grammar_chunks;sentence_builder,auf + accusative; darauf,A2
It depends on it.,Es hängt davon ab.,neutral,grammar;preposition;abhängen;source:german_grammar_chunks;sentence_builder,von + dative; davon,B1
I agree with you.,Ich stimme dir zu.,neutral,grammar;dative;source:german_grammar_chunks;sentence_builder,dative object,A2
I believe you.,Ich glaube dir.,neutral,grammar;dative;source:german_grammar_chunks;sentence_builder,dative object,A1
I understand you.,Ich verstehe dich.,neutral,grammar;accusative;source:german_grammar_chunks;sentence_builder,accusative object,A1
I miss you.,Du fehlst mir.,neutral,grammar;dative;relationship;source:german_grammar_chunks;sentence_builder,Literally: you are missing to me.,A2
I like that.,Das gefällt mir.,neutral,grammar;dative;source:german_grammar_chunks;sentence_builder,,A1
I feel good.,Mir geht es gut.,neutral,grammar;dative;source:german_grammar_chunks;sentence_builder,,A1
I am calling you.,Ich rufe dich an.,neutral,grammar;separable;source:german_grammar_chunks;sentence_builder,anrufen is separable,A1
I will come along.,Ich komme mit.,neutral,grammar;separable;source:german_grammar_chunks;sentence_builder,mitkommen is separable,A1
I will come back.,Ich komme zurück.,neutral,grammar;separable;source:german_grammar_chunks;sentence_builder,zurückkommen is separable,A1
I am starting now.,Ich fange jetzt an.,neutral,grammar;separable;source:german_grammar_chunks;sentence_builder,anfangen is separable,A1
I am stopping now.,Ich höre jetzt auf.,neutral,grammar;separable;source:german_grammar_chunks;sentence_builder,aufhören is separable,A1
I have misunderstood that.,Ich habe das missverstanden.,neutral,grammar;perfect;source:german_grammar_chunks;sentence_builder,Perfect tense with haben,A2
I came back late.,Ich bin spät zurückgekommen.,neutral,grammar;perfect;source:german_grammar_chunks;sentence_builder,Movement/change of location often uses sein.,A2
I would say that ...,"Ich würde sagen, dass ...",neutral,grammar;subjunctive;source:german_grammar_chunks;sentence_builder,Konjunktiv II polite/softening.,A2
I would rather not do that.,Das würde ich lieber nicht machen.,neutral,grammar;subjunctive;source:german_grammar_chunks;sentence_builder,,A2
